#	Label	Interval	Total	Time Recorded
	Start	---	---	Tue, Mar 1, 2022 at 10:41:54.023
157	Split	00:00:00.181	00:00:46.999	Tue, Mar 1, 2022 at 10:42:41.022
158	Split	00:00:00.172	00:00:47.171	Tue, Mar 1, 2022 at 10:42:41.194
159	Split	00:00:00.195	00:00:47.366	Tue, Mar 1, 2022 at 10:42:41.389
160	Split	00:00:00.188	00:00:47.554	Tue, Mar 1, 2022 at 10:42:41.577
161	Split	00:00:00.296	00:00:47.850	Tue, Mar 1, 2022 at 10:42:41.873
162	Split	00:00:00.182	00:00:48.032	Tue, Mar 1, 2022 at 10:42:42.055
163	Split	00:00:00.250	00:00:48.282	Tue, Mar 1, 2022 at 10:42:42.305
164	Split	00:00:00.154	00:00:48.436	Tue, Mar 1, 2022 at 10:42:42.459
165	Split	00:00:00.215	00:00:48.651	Tue, Mar 1, 2022 at 10:42:42.674
166	Split	00:00:00.166	00:00:48.817	Tue, Mar 1, 2022 at 10:42:42.840
167	Split	00:00:00.189	00:00:49.006	Tue, Mar 1, 2022 at 10:42:43.029
168	Split	00:00:00.248	00:00:49.254	Tue, Mar 1, 2022 at 10:42:43.277
169	Split	00:00:00.416	00:00:49.670	Tue, Mar 1, 2022 at 10:42:43.693
170	Split	00:00:00.188	00:00:49.858	Tue, Mar 1, 2022 at 10:42:43.881
171	Split	00:00:00.179	00:00:50.037	Tue, Mar 1, 2022 at 10:42:44.060
172	Split	00:00:00.372	00:00:50.409	Tue, Mar 1, 2022 at 10:42:44.432
173	Split	00:00:00.176	00:00:50.585	Tue, Mar 1, 2022 at 10:42:44.608
174	Split	00:07:05.149	00:07:55.734	Tue, Mar 1, 2022 at 10:49:49.757
175	Split	00:00:00.325	00:07:56.059	Tue, Mar 1, 2022 at 10:49:50.082
176	Split	00:00:00.157	00:07:56.216	Tue, Mar 1, 2022 at 10:49:50.239
177	Split	00:00:00.464	00:07:56.680	Tue, Mar 1, 2022 at 10:49:50.703
178	Split	00:00:00.340	00:07:57.020	Tue, Mar 1, 2022 at 10:49:51.043
179	Split	00:00:00.360	00:07:57.380	Tue, Mar 1, 2022 at 10:49:51.403
180	Split	00:00:00.144	00:07:57.524	Tue, Mar 1, 2022 at 10:49:51.547
181	Split	00:00:00.272	00:07:57.796	Tue, Mar 1, 2022 at 10:49:51.819
182	Split	00:00:00.319	00:07:58.115	Tue, Mar 1, 2022 at 10:49:52.138
183	Split	00:00:00.167	00:07:58.282	Tue, Mar 1, 2022 at 10:49:52.305
184	Split	00:00:00.184	00:07:58.466	Tue, Mar 1, 2022 at 10:49:52.489
185	Split	00:00:00.350	00:07:58.816	Tue, Mar 1, 2022 at 10:49:52.839
186	Split	00:00:00.152	00:07:58.968	Tue, Mar 1, 2022 at 10:49:52.991
187	Split	00:00:00.165	00:07:59.133	Tue, Mar 1, 2022 at 10:49:53.156
188	Split	00:00:00.164	00:07:59.297	Tue, Mar 1, 2022 at 10:49:53.320
189	Split	00:00:00.267	00:07:59.564	Tue, Mar 1, 2022 at 10:49:53.587
190	Split	00:00:00.233	00:07:59.797	Tue, Mar 1, 2022 at 10:49:53.820
191	Split	00:00:00.159	00:07:59.956	Tue, Mar 1, 2022 at 10:49:53.979
192	Split	00:00:00.178	00:08:00.134	Tue, Mar 1, 2022 at 10:49:54.157
193	Split	00:00:00.148	00:08:00.282	Tue, Mar 1, 2022 at 10:49:54.305
194	Split	00:00:00.148	00:08:00.430	Tue, Mar 1, 2022 at 10:49:54.453
195	Split	00:00:00.167	00:08:00.597	Tue, Mar 1, 2022 at 10:49:54.620
196	Split	00:00:00.167	00:08:00.764	Tue, Mar 1, 2022 at 10:49:54.787
197	Split	00:00:00.187	00:08:00.951	Tue, Mar 1, 2022 at 10:49:54.974
198	Split	00:00:00.135	00:08:01.086	Tue, Mar 1, 2022 at 10:49:55.109
199	Split	00:00:00.267	00:08:01.353	Tue, Mar 1, 2022 at 10:49:55.376
200	Split	00:00:00.218	00:08:01.571	Tue, Mar 1, 2022 at 10:49:55.594
201	Split	00:00:00.231	00:08:01.802	Tue, Mar 1, 2022 at 10:49:55.825
202	Split	00:00:00.167	00:08:01.969	Tue, Mar 1, 2022 at 10:49:55.992
203	Split	00:00:00.195	00:08:02.164	Tue, Mar 1, 2022 at 10:49:56.187
204	Split	00:00:00.151	00:08:02.315	Tue, Mar 1, 2022 at 10:49:56.338
205	Split	00:00:00.255	00:08:02.570	Tue, Mar 1, 2022 at 10:49:56.593
206	Split	00:00:00.230	00:08:02.800	Tue, Mar 1, 2022 at 10:49:56.823
207	Split	00:00:00.165	00:08:02.965	Tue, Mar 1, 2022 at 10:49:56.988
208	Split	00:00:00.168	00:08:03.133	Tue, Mar 1, 2022 at 10:49:57.156
209	Split	00:00:00.165	00:08:03.298	Tue, Mar 1, 2022 at 10:49:57.321
210	Split	00:00:00.174	00:08:03.472	Tue, Mar 1, 2022 at 10:49:57.495
211	Split	00:00:00.159	00:08:03.631	Tue, Mar 1, 2022 at 10:49:57.654
212	Split	00:00:00.291	00:08:03.922	Tue, Mar 1, 2022 at 10:49:57.945
213	Split	00:00:00.239	00:08:04.161	Tue, Mar 1, 2022 at 10:49:58.184
214	Split	00:00:00.174	00:08:04.335	Tue, Mar 1, 2022 at 10:49:58.358
215	Split	00:00:00.164	00:08:04.499	Tue, Mar 1, 2022 at 10:49:58.522
216	Split	00:00:00.159	00:08:04.658	Tue, Mar 1, 2022 at 10:49:58.681
217	Split	00:00:00.178	00:08:04.836	Tue, Mar 1, 2022 at 10:49:58.859
218	Split	00:00:00.263	00:08:05.099	Tue, Mar 1, 2022 at 10:49:59.122
219	Split	00:00:00.198	00:08:05.297	Tue, Mar 1, 2022 at 10:49:59.320
220	Split	00:00:00.172	00:08:05.469	Tue, Mar 1, 2022 at 10:49:59.492
221	Split	00:00:00.301	00:08:05.770	Tue, Mar 1, 2022 at 10:49:59.793
222	Split	00:00:00.163	00:08:05.933	Tue, Mar 1, 2022 at 10:49:59.956
223	Split	00:00:00.173	00:08:06.106	Tue, Mar 1, 2022 at 10:50:00.129
224	Split	00:00:00.218	00:08:06.324	Tue, Mar 1, 2022 at 10:50:00.347
225	Split	00:00:00.390	00:08:06.714	Tue, Mar 1, 2022 at 10:50:00.737
226	Split	00:00:00.175	00:08:06.889	Tue, Mar 1, 2022 at 10:50:00.912
227	Split	00:00:00.160	00:08:07.049	Tue, Mar 1, 2022 at 10:50:01.072
228	Split	00:00:00.158	00:08:07.207	Tue, Mar 1, 2022 at 10:50:01.230
229	Split	00:00:00.261	00:08:07.468	Tue, Mar 1, 2022 at 10:50:01.491
230	Split	00:00:00.167	00:08:07.635	Tue, Mar 1, 2022 at 10:50:01.658
231	Split	00:00:00.162	00:08:07.797	Tue, Mar 1, 2022 at 10:50:01.820
232	Split	00:00:00.154	00:08:07.951	Tue, Mar 1, 2022 at 10:50:01.974
233	Split	00:00:00.150	00:08:08.101	Tue, Mar 1, 2022 at 10:50:02.124
234	Split	00:00:00.175	00:08:08.276	Tue, Mar 1, 2022 at 10:50:02.299
235	Split	00:00:00.255	00:08:08.531	Tue, Mar 1, 2022 at 10:50:02.554
236	Split	00:00:00.166	00:08:08.697	Tue, Mar 1, 2022 at 10:50:02.720
237	Split	00:00:00.167	00:08:08.864	Tue, Mar 1, 2022 at 10:50:02.887
238	Split	00:00:00.135	00:08:08.999	Tue, Mar 1, 2022 at 10:50:03.022
239	Split	00:00:00.166	00:08:09.165	Tue, Mar 1, 2022 at 10:50:03.188
240	Split	00:00:00.267	00:08:09.432	Tue, Mar 1, 2022 at 10:50:03.455
241	Split	00:00:00.203	00:08:09.635	Tue, Mar 1, 2022 at 10:50:03.658
242	Split	00:00:00.166	00:08:09.801	Tue, Mar 1, 2022 at 10:50:03.824
243	Split	00:00:00.163	00:08:09.964	Tue, Mar 1, 2022 at 10:50:03.987
244	Split	00:00:00.167	00:08:10.131	Tue, Mar 1, 2022 at 10:50:04.154
245	Split	00:00:00.162	00:08:10.293	Tue, Mar 1, 2022 at 10:50:04.316
246	Split	00:00:00.188	00:08:10.481	Tue, Mar 1, 2022 at 10:50:04.504
247	Split	00:00:00.152	00:08:10.633	Tue, Mar 1, 2022 at 10:50:04.656
248	Split	00:00:00.300	00:08:10.933	Tue, Mar 1, 2022 at 10:50:04.956
249	Split	00:00:00.190	00:08:11.123	Tue, Mar 1, 2022 at 10:50:05.146
250	Split	00:00:00.192	00:08:11.315	Tue, Mar 1, 2022 at 10:50:05.338
251	Split	00:00:00.166	00:08:11.481	Tue, Mar 1, 2022 at 10:50:05.504
252	Split	00:00:00.177	00:08:11.658	Tue, Mar 1, 2022 at 10:50:05.681
253	Split	00:00:00.173	00:08:11.831	Tue, Mar 1, 2022 at 10:50:05.854
254	Split	00:00:00.278	00:08:12.109	Tue, Mar 1, 2022 at 10:50:06.132
255	Split	00:00:00.222	00:08:12.331	Tue, Mar 1, 2022 at 10:50:06.354
256	Split	00:00:00.200	00:08:12.531	Tue, Mar 1, 2022 at 10:50:06.554
257	Split	00:00:00.186	00:08:12.717	Tue, Mar 1, 2022 at 10:50:06.740
258	Split	00:00:00.171	00:08:12.888	Tue, Mar 1, 2022 at 10:50:06.911
259	Split	00:00:00.165	00:08:13.053	Tue, Mar 1, 2022 at 10:50:07.076
260	Split	00:00:00.145	00:08:13.198	Tue, Mar 1, 2022 at 10:50:07.221
261	Split	00:00:00.321	00:08:13.519	Tue, Mar 1, 2022 at 10:50:07.542
262	Split	00:00:00.219	00:08:13.738	Tue, Mar 1, 2022 at 10:50:07.761
263	Split	00:00:00.201	00:08:13.939	Tue, Mar 1, 2022 at 10:50:07.962
264	Split	00:00:00.193	00:08:14.132	Tue, Mar 1, 2022 at 10:50:08.155
265	Split	00:00:00.167	00:08:14.299	Tue, Mar 1, 2022 at 10:50:08.322
266	Split	00:00:00.201	00:08:14.500	Tue, Mar 1, 2022 at 10:50:08.523
267	Split	00:00:00.248	00:08:14.748	Tue, Mar 1, 2022 at 10:50:08.771
268	Split	00:00:00.253	00:08:15.001	Tue, Mar 1, 2022 at 10:50:09.024
269	Split	00:00:00.197	00:08:15.198	Tue, Mar 1, 2022 at 10:50:09.221
270	Split	00:00:00.205	00:08:15.403	Tue, Mar 1, 2022 at 10:50:09.426
271	Split	00:00:00.179	00:08:15.582	Tue, Mar 1, 2022 at 10:50:09.605
272	Split	00:00:00.178	00:08:15.760	Tue, Mar 1, 2022 at 10:50:09.783
273	Split	00:00:00.182	00:08:15.942	Tue, Mar 1, 2022 at 10:50:09.965
274	Split	00:00:00.273	00:08:16.215	Tue, Mar 1, 2022 at 10:50:10.238
275	Split	00:00:00.216	00:08:16.431	Tue, Mar 1, 2022 at 10:50:10.454
276	Split	00:00:00.225	00:08:16.656	Tue, Mar 1, 2022 at 10:50:10.679
277	Split	00:00:00.198	00:08:16.854	Tue, Mar 1, 2022 at 10:50:10.877
278	Split	00:00:00.184	00:08:17.038	Tue, Mar 1, 2022 at 10:50:11.061
279	Split	00:00:00.181	00:08:17.219	Tue, Mar 1, 2022 at 10:50:11.242
280	Split	00:00:00.166	00:08:17.385	Tue, Mar 1, 2022 at 10:50:11.408
281	Split	00:00:00.180	00:08:17.565	Tue, Mar 1, 2022 at 10:50:11.588
282	Split	00:00:00.156	00:08:17.721	Tue, Mar 1, 2022 at 10:50:11.744
283	Split	00:00:00.262	00:08:17.983	Tue, Mar 1, 2022 at 10:50:12.006
284	Split	00:00:00.232	00:08:18.215	Tue, Mar 1, 2022 at 10:50:12.238
285	Split	00:00:00.184	00:08:18.399	Tue, Mar 1, 2022 at 10:50:12.422
286	Split	00:00:00.189	00:08:18.588	Tue, Mar 1, 2022 at 10:50:12.611
287	Split	00:00:00.160	00:08:18.748	Tue, Mar 1, 2022 at 10:50:12.771
288	Split	00:00:00.174	00:08:18.922	Tue, Mar 1, 2022 at 10:50:12.945
289	Split	00:00:00.166	00:08:19.088	Tue, Mar 1, 2022 at 10:50:13.111
290	Split	00:00:00.311	00:08:19.399	Tue, Mar 1, 2022 at 10:50:13.422
291	Split	00:00:00.219	00:08:19.618	Tue, Mar 1, 2022 at 10:50:13.641
